Courses,Offered by,Url,Students Enrolled,Ratings
Machine Learning,Stanford University,https://www.coursera.org/learn/machine-learning,4.4m,4.9
Indigenous Canada,University of Alberta,https://www.coursera.org/learn/indigenous-canada,390k,4.8
The Science of Well-Being,Yale University,https://www.coursera.org/learn/the-science-of-well-being,3.6m,4.9
Financial Markets,Yale University,https://www.coursera.org/learn/financial-markets-global,1m,4.8
Introduction to Psychology,Yale University,https://www.coursera.org/learn/introduction-psychology,740k,4.8
Writing in the Sciences,Stanford University,https://www.coursera.org/learn/sciwrite,260k,4.9
Successful Negotiation: Essential Strategies and Skills,University of Michigan,https://www.coursera.org/learn/negotiation-skills,1.1m,4.8
First Step Korean,Yonsei University,https://www.coursera.org/learn/learn-korean,1m,4.9
"Brand Management: Aligning Business, Brand and Behaviour",University of London,https://www.coursera.org/learn/brand,210k,4.9
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,610k,4.7
Introduction to Statistics,Stanford University,https://www.coursera.org/learn/stanford-statistics,44k,4.6
Private Equity and Venture Capital,UniversitÃ  Bocconi,https://www.coursera.org/learn/private-equity,140k,4.8
Agile with Atlassian Jira,Atlassian,https://www.coursera.org/learn/agile-atlassian-jira,110k,4.7
Clinical Terminology for International and U.S. Students,University of Pittsburgh,https://www.coursera.org/learn/clinical-terminology,76k,4.8
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,https://www.coursera.org/learn/negotiation,390k,4.9
Game Theory,Stanford University,https://www.coursera.org/learn/game-theory-1,350k,4.6
The Strategy of Content Marketing,"University of California, Davis",https://www.coursera.org/learn/content-marketing,240k,4.5
Primeros Auxilios PsicolÃ³gicos (PAP),Universitat AutÃ²noma de Barcelona,https://www.coursera.org/learn/pap,400k,4.8
Management of Fashion and Luxury Companies,UniversitÃ  Bocconi,https://www.coursera.org/learn/mafash,180k,4.7
Managing Emotions in Times of Uncertainty & Stress,Yale University,https://www.coursera.org/learn/managing-emotions-uncertainty-stress,73k,4.8
